,id,created_at,story,original_url,retweeted_status_id,quoted_status_id,in_reply_to_status_id,partisan_lean
7130,1334151841513398277,2020-12-02 15:06:01+00,tech: Hammer and Scorecard,,1.3337805910036644e+18,1.3337689944998134e+18,,right
7131,1334191036785168387,2020-12-02 17:41:45+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=oojQydmdsOs&feature=youtu.be,1.3341410980847493e+18,1.334139154888872e+18,,left
7132,1334162942380494850,2020-12-02 15:50:07+00,tech: Hammer and Scorecard,https://archive.4plebs.org/pol/thread/289625236,1.33416081123797e+18,,,right
7133,1334162942380494850,2020-12-02 15:50:07+00,tech: Hammer and Scorecard,https://archive.4plebs.org/pol/thread/289625236,1.33416081123797e+18,,,right
7134,1333980807568961537,2020-12-02 03:46:23+00,tech: Hammer and Scorecard,https://www.cnn.com/2020/12/01/politics/presidential-pardon-justice-department/index.html,1.333978310565458e+18,1.3258615142684385e+18,,right
7135,1325828671987478529,2020-11-09 15:52:42+00,dead voters: general ticket,,1.3258214638034002e+18,,,right
7136,1333980807568961537,2020-12-02 03:46:23+00,tech: Hammer and Scorecard,https://www.cnn.com/2020/12/01/politics/presidential-pardon-justice-department/index.html,1.333978310565458e+18,1.3258615142684385e+18,,right
7137,1333981289460899841,2020-12-02 03:48:18+00,tech: Hammer and Scorecard,,1.3332331520814694e+18,,,right
7138,1333981073215168512,2020-12-02 03:47:26+00,tech: Hammer and Scorecard,https://www.cnn.com/2020/12/01/politics/presidential-pardon-justice-department/index.html,1.333978310565458e+18,1.3258615142684385e+18,,right
7139,1333981073215168512,2020-12-02 03:47:26+00,tech: Hammer and Scorecard,https://www.cnn.com/2020/12/01/politics/presidential-pardon-justice-department/index.html,1.333978310565458e+18,1.3258615142684385e+18,,right
7140,1334191006779133954,2020-12-02 17:41:38+00,tech: Hammer and Scorecard,,1.3341882791645266e+18,1.3331428162691113e+18,,right
7141,1334191337181220867,2020-12-02 17:42:57+00,tech: Hammer and Scorecard,,1.3341882791645266e+18,1.3331428162691113e+18,,right
7142,1334191446149140481,2020-12-02 17:43:23+00,tech: Hammer and Scorecard,,1.3341882791645266e+18,1.3331428162691113e+18,,right
7143,1334008217035223040,2020-12-02 05:35:18+00,tech: Hammer and Scorecard,,,1.3339966252455977e+18,,right
7144,1334191723354832896,2020-12-02 17:44:29+00,tech: Hammer and Scorecard,,1.3341882791645266e+18,1.3331428162691113e+18,,right
7145,1334192388135411716,2020-12-02 17:47:08+00,tech: Hammer and Scorecard,https://threadreaderapp.com/thread/1329525675666051073.html,,,1.3341923864535e+18,right
7146,1334164758304473088,2020-12-02 15:57:20+00,tech: Hammer and Scorecard,,1.3332331520814694e+18,,,right
7147,1334163524868661249,2020-12-02 15:52:26+00,tech: Hammer and Scorecard,,1.3332331520814694e+18,,,right
7148,1334164856950415360,2020-12-02 15:57:44+00,tech: Hammer and Scorecard,,,1.3341552859094098e+18,,right
7149,1334165199759298561,2020-12-02 15:59:05+00,tech: Hammer and Scorecard,,1.3332476989595607e+18,,,right
7150,1334202274323820545,2020-12-02 18:26:25+00,tech: Hammer and Scorecard,,1.329525675666051e+18,,,right
7151,1334128464463417352,2020-12-02 13:33:07+00,tech: Hammer and Scorecard,,1.3296581723032617e+18,1.329525675666051e+18,,right
7152,1334266251036725248,2020-12-02 22:40:38+00,tech: Hammer and Scorecard,,,,1.3339094996866253e+18,right
7153,1334268160153968640,2020-12-02 22:48:13+00,tech: Hammer and Scorecard,,1.33416882826428e+18,1.3341657928925225e+18,,right
7154,1334268227971674112,2020-12-02 22:48:29+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=oojQydmdsOs&ab_channel=AnnaKhait,1.3341657928925225e+18,1.333641754306818e+18,,right
7155,1334242208791269380,2020-12-02 21:05:06+00,tech: Hammer and Scorecard,,1.333904825759789e+18,,,right
7156,1334254080101732352,2020-12-02 21:52:16+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
7157,1334178046874619905,2020-12-02 16:50:08+00,tech: Hammer and Scorecard,,,1.3341657928925225e+18,,unknown
7158,1334138456310771712,2020-12-02 14:12:49+00,tech: Hammer and Scorecard,,1.3335384240417219e+18,,,right
7159,1334138505832837120,2020-12-02 14:13:01+00,tech: Hammer and Scorecard,https://odysee.com/@sarahwestall:0/General-McInerny:3,1.333957059520426e+18,,,right
7160,1333966930240278528,2020-12-02 02:51:14+00,tech: Hammer and Scorecard,,1.3339578428569313e+18,1.33284338281352e+18,,left
7161,1334162930338852867,2020-12-02 15:50:04+00,tech: Hammer and Scorecard,,1.3341442708534272e+18,1.3339876594679398e+18,,left
7162,1333943875711471617,2020-12-02 01:19:38+00,tech: Hammer and Scorecard,,1.333904825759789e+18,,,right
7163,1334217111321755649,2020-12-02 19:25:22+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=oojQydmdsOs&feature=youtu.be,1.3341410980847493e+18,1.334139154888872e+18,,left
7164,1334215908278087687,2020-12-02 19:20:35+00,tech: Hammer and Scorecard,,1.3335384240417219e+18,,,right
7165,1334190832350539778,2020-12-02 17:40:57+00,tech: Hammer and Scorecard,,,,1.334185578313773e+18,right
7166,1334202814663311366,2020-12-02 18:28:33+00,tech: Hammer and Scorecard,https://www.wnd.com/2020/12/treasonous-enemies-within-3-star-general-pushes-trump-use-emergency-powers/,1.3340245206598246e+18,,,right
7167,1334190819931262983,2020-12-02 17:40:54+00,tech: Hammer and Scorecard,https://theamericanreport.org/2020/11/27/the-kraken-revealed-proves-domestic-traitors-and-foreign-enemies-attempted-to-steal-americas-election/,1.333879489860866e+18,,,right
7168,1334192315624087552,2020-12-02 17:46:50+00,tech: Hammer and Scorecard,,,1.3341888404126065e+18,,right
7169,1325841288143499265,2020-11-09 16:42:50+00,dead voters: general ticket,,1.3258214638034002e+18,,,right
7170,1333941768660901888,2020-12-02 01:11:15+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
7171,1333980504346025984,2020-12-02 03:45:11+00,tech: Hammer and Scorecard,https://gellerreport.com/2020/11/lt-gen-mcinerney-us-special-forces-attacked-cia-server-farm-in-germany-in-server-seizure-operation-5-soldiers-killed-servers-secured.html/,1.3331334065872527e+18,1.3273646436612465e+18,,right
7172,1333980759653289986,2020-12-02 03:46:11+00,tech: Hammer and Scorecard,,1.3338787196608225e+18,,,right
7173,1333979667766898688,2020-12-02 03:41:51+00,tech: Hammer and Scorecard,https://odysee.com/@sarahwestall:0/General-McInerny:3,1.3339782839737344e+18,1.333957059520426e+18,,right
7174,1334243112537841664,2020-12-02 21:08:41+00,tech: Hammer and Scorecard,,1.3342415825270415e+18,,,right
